min_time = 4; max_time = 55040; average_time = 2365; 
min_time = 4; max_time = 55040; average_time = 2358; 
min_time = 4; max_time = 55040; average_time = 2352; 
min_time = 4; max_time = 55040; average_time = 2345; 
min_time = 4; max_time = 55040; average_time = 2338; 
min_time = 4; max_time = 55040; average_time = 2331; 
min_time = 4; max_time = 55040; average_time = 2328; 
min_time = 4; max_time = 55040; average_time = 2321; 
min_time = 4; max_time = 55040; average_time = 2353; 
min_time = 4; max_time = 55040; average_time = 2347; 
min_time = 4; max_time = 55040; average_time = 2348; 
min_time = 4; max_time = 55040; average_time = 2342; 
min_time = 4; max_time = 55040; average_time = 2370; 
min_time = 4; max_time = 55040; average_time = 2363; 
min_time = 4; max_time = 55040; average_time = 2395; 
min_time = 4; max_time = 55040; average_time = 2389; 
min_time = 4; max_time = 55040; average_time = 2413; 
min_time = 4; max_time = 55040; average_time = 2445; 
min_time = 4; max_time = 55040; average_time = 2438; 
min_time = 4; max_time = 55040; average_time = 2433; 
min_time = 4; max_time = 55040; average_time = 2426; 
min_time = 4; max_time = 55040; average_time = 2419; 
min_time = 4; max_time = 55040; average_time = 2413; 
min_time = 4; max_time = 55040; average_time = 2406; 
min_time = 4; max_time = 55040; average_time = 2400; 
min_time = 4; max_time = 55040; average_time = 2398; 
min_time = 4; max_time = 55040; average_time = 2392; 
min_time = 4; max_time = 55040; average_time = 2388; 
min_time = 4; max_time = 257441; average_time = 3081; 
min_time = 4; max_time = 257441; average_time = 3072; 
min_time = 4; max_time = 257441; average_time = 3101; 
min_time = 4; max_time = 257441; average_time = 3093; 
min_time = 4; max_time = 257441; average_time = 3139; 
min_time = 4; max_time = 257441; average_time = 3131; 
min_time = 4; max_time = 257441; average_time = 3127; 
min_time = 4; max_time = 257441; average_time = 3126; 
min_time = 4; max_time = 257441; average_time = 3118; 
min_time = 4; max_time = 257441; average_time = 3113; 
min_time = 4; max_time = 257441; average_time = 3105; 
min_time = 4; max_time = 257441; average_time = 3097; 
min_time = 4; max_time = 257441; average_time = 3088; 
min_time = 4; max_time = 257441; average_time = 3080; 
min_time = 4; max_time = 257441; average_time = 3072; 
min_time = 4; max_time = 257441; average_time = 3066; 
min_time = 4; max_time = 257441; average_time = 3058; 
min_time = 4; max_time = 258264; average_time = 3721; 
