min_time = 4; max_time = 104265; average_time = 2586; current_time = 21; 
min_time = 4; max_time = 104265; average_time = 2574; current_time = 31; 
min_time = 4; max_time = 104265; average_time = 2634; current_time = 15077; 
min_time = 4; max_time = 104265; average_time = 2622; current_time = 23; 
min_time = 4; max_time = 104265; average_time = 2609; current_time = 48; 
min_time = 4; max_time = 104265; average_time = 2597; current_time = 26; 
min_time = 4; max_time = 104265; average_time = 2614; current_time = 6170; 
min_time = 4; max_time = 104265; average_time = 2602; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2590; current_time = 25; 
min_time = 4; max_time = 104265; average_time = 2578; current_time = 114; 
min_time = 4; max_time = 104265; average_time = 2566; current_time = 29; 
min_time = 4; max_time = 104265; average_time = 2554; current_time = 56; 
min_time = 4; max_time = 104265; average_time = 2543; current_time = 25; 
min_time = 4; max_time = 104265; average_time = 2531; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2592; current_time = 15857; 
min_time = 4; max_time = 104265; average_time = 2580; current_time = 20; 
min_time = 4; max_time = 104265; average_time = 2569; current_time = 27; 
min_time = 4; max_time = 104265; average_time = 2557; current_time = 21; 
min_time = 4; max_time = 104265; average_time = 2546; current_time = 30; 
min_time = 4; max_time = 104265; average_time = 2535; current_time = 32; 
min_time = 4; max_time = 104265; average_time = 2523; current_time = 25; 
min_time = 4; max_time = 104265; average_time = 2512; current_time = 30; 
min_time = 4; max_time = 104265; average_time = 2501; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2490; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2479; current_time = 24; 
min_time = 4; max_time = 104265; average_time = 2469; current_time = 6; 
min_time = 4; max_time = 104265; average_time = 2458; current_time = 27; 
min_time = 4; max_time = 104265; average_time = 2451; current_time = 797; 
min_time = 4; max_time = 104265; average_time = 2440; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2430; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2464; current_time = 10434; 
min_time = 4; max_time = 104265; average_time = 2513; current_time = 14091; 
min_time = 4; max_time = 104265; average_time = 2503; current_time = 23; 
min_time = 4; max_time = 104265; average_time = 2492; current_time = 23; 
min_time = 4; max_time = 104265; average_time = 2482; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2472; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2469; current_time = 1878; 
min_time = 4; max_time = 104265; average_time = 2459; current_time = 31; 
min_time = 4; max_time = 104265; average_time = 2449; current_time = 82; 
min_time = 4; max_time = 104265; average_time = 2505; current_time = 16133; 
min_time = 4; max_time = 104265; average_time = 2499; current_time = 991; 
min_time = 4; max_time = 104265; average_time = 2489; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2479; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2469; current_time = 25; 
min_time = 4; max_time = 104265; average_time = 2461; current_time = 442; 
min_time = 4; max_time = 104265; average_time = 2455; current_time = 1087; 
min_time = 4; max_time = 104265; average_time = 2446; current_time = 27; 
min_time = 4; max_time = 104265; average_time = 2436; current_time = 38; 
min_time = 4; max_time = 104265; average_time = 2426; current_time = 6; 
min_time = 4; max_time = 104265; average_time = 2417; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2407; current_time = 24; 
min_time = 4; max_time = 104265; average_time = 2398; current_time = 7; 
min_time = 4; max_time = 104265; average_time = 2397; current_time = 2219; 
min_time = 4; max_time = 104265; average_time = 2388; current_time = 101; 
min_time = 4; max_time = 104265; average_time = 2432; current_time = 13741; 
min_time = 4; max_time = 104265; average_time = 2443; current_time = 5086; 
min_time = 4; max_time = 104265; average_time = 2433; current_time = 30; 
min_time = 4; max_time = 104265; average_time = 2424; current_time = 24; 
min_time = 4; max_time = 104265; average_time = 2415; current_time = 52; 
min_time = 4; max_time = 104265; average_time = 2406; current_time = 28; 
min_time = 4; max_time = 104265; average_time = 2397; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2388; current_time = 28; 
min_time = 4; max_time = 104265; average_time = 2379; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2370; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2361; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2353; current_time = 26; 
min_time = 4; max_time = 104265; average_time = 2344; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2335; current_time = 29; 
min_time = 4; max_time = 104265; average_time = 2327; current_time = 25; 
min_time = 4; max_time = 104265; average_time = 2318; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2310; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2308; current_time = 1789; 
min_time = 4; max_time = 104265; average_time = 2300; current_time = 67; 
min_time = 4; max_time = 104265; average_time = 2292; current_time = 33; 
min_time = 4; max_time = 104265; average_time = 2333; current_time = 13928; 
min_time = 4; max_time = 104265; average_time = 2325; current_time = 24; 
min_time = 4; max_time = 104265; average_time = 2317; current_time = 25; 
min_time = 4; max_time = 104265; average_time = 2310; current_time = 281; 
min_time = 4; max_time = 104265; average_time = 2302; current_time = 17; 
min_time = 4; max_time = 104265; average_time = 2294; current_time = 25; 
min_time = 4; max_time = 104265; average_time = 2286; current_time = 122; 
min_time = 4; max_time = 104265; average_time = 2282; current_time = 1237; 
min_time = 4; max_time = 104265; average_time = 2274; current_time = 63; 
min_time = 4; max_time = 104265; average_time = 2267; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2293; current_time = 10016; 
min_time = 4; max_time = 104265; average_time = 2294; current_time = 2451; 
min_time = 4; max_time = 104265; average_time = 2286; current_time = 41; 
min_time = 4; max_time = 104265; average_time = 2278; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2271; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2263; current_time = 27; 
min_time = 4; max_time = 104265; average_time = 2255; current_time = 30; 
min_time = 4; max_time = 104265; average_time = 2248; current_time = 20; 
min_time = 4; max_time = 104265; average_time = 2240; current_time = 26; 
min_time = 4; max_time = 104265; average_time = 2233; current_time = 135; 
min_time = 4; max_time = 104265; average_time = 2226; current_time = 6; 
min_time = 4; max_time = 104265; average_time = 2219; current_time = 99; 
min_time = 4; max_time = 104265; average_time = 2211; current_time = 21; 
min_time = 4; max_time = 104265; average_time = 2204; current_time = 26; 
min_time = 4; max_time = 104265; average_time = 2197; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2194; current_time = 1325; 
min_time = 4; max_time = 104265; average_time = 2197; current_time = 3237; 
min_time = 4; max_time = 104265; average_time = 2190; current_time = 33; 
min_time = 4; max_time = 104265; average_time = 2183; current_time = 122; 
min_time = 4; max_time = 104265; average_time = 2176; current_time = 44; 
min_time = 4; max_time = 104265; average_time = 2188; current_time = 5628; 
min_time = 4; max_time = 104265; average_time = 2181; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2174; current_time = 19; 
min_time = 4; max_time = 104265; average_time = 2211; current_time = 13771; 
min_time = 4; max_time = 104265; average_time = 2204; current_time = 22; 
min_time = 4; max_time = 104265; average_time = 2197; current_time = 147; 
min_time = 4; max_time = 104265; average_time = 2190; current_time = 27; 
min_time = 4; max_time = 104265; average_time = 2184; current_time = 24; 
min_time = 4; max_time = 104265; average_time = 2177; current_time = 22; 
min_time = 4; max_time = 104265; average_time = 2170; current_time = 48; 
min_time = 4; max_time = 104265; average_time = 2164; current_time = 435; 
min_time = 4; max_time = 104265; average_time = 2158; current_time = 24; 
min_time = 4; max_time = 104265; average_time = 2151; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2145; current_time = 123; 
min_time = 4; max_time = 104265; average_time = 2138; current_time = 25; 
min_time = 4; max_time = 104265; average_time = 2132; current_time = 39; 
min_time = 4; max_time = 104265; average_time = 2140; current_time = 4882; 
min_time = 4; max_time = 104265; average_time = 2134; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2169; current_time = 13698; 
min_time = 4; max_time = 104265; average_time = 2162; current_time = 29; 
min_time = 4; max_time = 104265; average_time = 2156; current_time = 33; 
min_time = 4; max_time = 104265; average_time = 2149; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2143; current_time = 19; 
min_time = 4; max_time = 104265; average_time = 2137; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2130; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2124; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2121; current_time = 1173; 
min_time = 4; max_time = 104265; average_time = 2156; current_time = 14003; 
min_time = 4; max_time = 104265; average_time = 2150; current_time = 22; 
min_time = 4; max_time = 104265; average_time = 2144; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2137; current_time = 20; 
min_time = 4; max_time = 104265; average_time = 2131; current_time = 24; 
min_time = 4; max_time = 104265; average_time = 2125; current_time = 20; 
min_time = 4; max_time = 302282; average_time = 3005; current_time = 302282; 
min_time = 4; max_time = 302282; average_time = 3001; current_time = 1447; 
min_time = 4; max_time = 302282; average_time = 3034; current_time = 14572; 
min_time = 4; max_time = 302282; average_time = 3025; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 3017; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 3009; current_time = 208; 
min_time = 4; max_time = 302282; average_time = 3000; current_time = 30; 
min_time = 4; max_time = 302282; average_time = 2991; current_time = 24; 
min_time = 4; max_time = 302282; average_time = 2983; current_time = 5; 
min_time = 4; max_time = 302282; average_time = 2975; current_time = 178; 
min_time = 4; max_time = 302282; average_time = 2967; current_time = 33; 
min_time = 4; max_time = 302282; average_time = 2958; current_time = 22; 
min_time = 4; max_time = 302282; average_time = 2950; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 2942; current_time = 33; 
min_time = 4; max_time = 302282; average_time = 2933; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 2925; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 2917; current_time = 25; 
min_time = 4; max_time = 302282; average_time = 2909; current_time = 25; 
min_time = 4; max_time = 302282; average_time = 2901; current_time = 26; 
min_time = 4; max_time = 302282; average_time = 2893; current_time = 22; 
min_time = 4; max_time = 302282; average_time = 2885; current_time = 19; 
min_time = 4; max_time = 302282; average_time = 2877; current_time = 24; 
min_time = 4; max_time = 302282; average_time = 2871; current_time = 707; 
min_time = 4; max_time = 302282; average_time = 2863; current_time = 23; 
min_time = 4; max_time = 302282; average_time = 2855; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 2848; current_time = 25; 
min_time = 4; max_time = 302282; average_time = 2840; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 2832; current_time = 26; 
min_time = 4; max_time = 302282; average_time = 2825; current_time = 26; 
min_time = 4; max_time = 302282; average_time = 2817; current_time = 5; 
min_time = 4; max_time = 302282; average_time = 2810; current_time = 272; 
min_time = 4; max_time = 302282; average_time = 2813; current_time = 4075; 
min_time = 4; max_time = 302282; average_time = 2835; current_time = 10929; 
min_time = 4; max_time = 302282; average_time = 2828; current_time = 22; 
min_time = 4; max_time = 302282; average_time = 2820; current_time = 22; 
min_time = 4; max_time = 302282; average_time = 2814; current_time = 553; 
min_time = 4; max_time = 302282; average_time = 2807; current_time = 5; 
