pattern_count = 1; pattern_len = 30; net_len = 55; min_time = 1983; max_time = 3113; average_time = 2292; 
pattern_count = 1; pattern_len = 30; net_len = 60; min_time = 2401; max_time = 3104; average_time = 2802; 
pattern_count = 1; pattern_len = 30; net_len = 65; min_time = 2570; max_time = 3762; average_time = 3168; 
pattern_count = 1; pattern_len = 30; net_len = 70; min_time = 2578; max_time = 5019; average_time = 3651; 
pattern_count = 1; pattern_len = 30; net_len = 75; min_time = 2967; max_time = 5185; average_time = 4123; 
pattern_count = 1; pattern_len = 30; net_len = 80; min_time = 3381; max_time = 5680; average_time = 4616; 
pattern_count = 1; pattern_len = 30; net_len = 85; min_time = 4474; max_time = 6133; average_time = 5179; 
pattern_count = 1; pattern_len = 30; net_len = 90; min_time = 4794; max_time = 6780; average_time = 5856; 
pattern_count = 1; pattern_len = 30; net_len = 95; min_time = 5121; max_time = 8176; average_time = 6775; 
pattern_count = 1; pattern_len = 30; net_len = 100; min_time = 5837; max_time = 8897; average_time = 6871; 

